id_association,code_barre_ean_principal,code_barre_ean_associe_mdd,nom_produit_principal,nom_produit_mdd_associe,indice_confiance_association_pct,hausse_ticket_moyen_projete_pct,offre_bundle_recommandee
XSELL-0001,349489595388,351364184833,Plat Cuisiné Lasagnes Nestlé #3809,Plat Cuisiné Lasagnes Gourmet #4384,93.6,7.5,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #4384 (MDD) à l'achat de Plat Cuisiné Lasagnes Nestlé #3809
XSELL-0002,363230409378,341904825704,Pâte à Tartiner Danone #377,Yaourt Fraise Repère #2750,88.5,6.1,Offre Duo : -30% sur Yaourt Fraise Repère #2750 (MDD) à l'achat de Pâte à Tartiner Danone #377
XSELL-0003,386336501638,317890596605,Fromage Fondu Danone #2760,Pain de Mie Bio Repère #266,86.9,9.9,Offre Duo : -30% sur Pain de Mie Bio Repère #266 (MDD) à l'achat de Fromage Fondu Danone #2760
XSELL-0004,317539005689,356532153461,Yaourt Fraise Repère #1403,Jus d'Orange Pur Jus Gourmet #4081,79.2,11.4,Offre Duo : -30% sur Jus d'Orange Pur Jus Gourmet #4081 (MDD) à l'achat de Yaourt Fraise Repère #1403
XSELL-0005,314213884595,366450477303,Pain de Mie Bio Nestlé #1921,Pâte à Tartiner Repère #2230,92.2,6.2,Offre Duo : -30% sur Pâte à Tartiner Repère #2230 (MDD) à l'achat de Pain de Mie Bio Nestlé #1921
XSELL-0006,376312877952,377808364479,Pain de Mie Bio Danone #2999,Pâte à Tartiner Repère #401,74.9,8.2,Offre Duo : -30% sur Pâte à Tartiner Repère #401 (MDD) à l'achat de Pain de Mie Bio Danone #2999
XSELL-0007,352789106350,346706433185,Biscuits Chocolat Danone #669,Plat Cuisiné Lasagnes Gourmet #1427,75.1,12.3,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #1427 (MDD) à l'achat de Biscuits Chocolat Danone #669
XSELL-0008,347806457983,315967757854,Yaourt Fraise Repère #1106,Fromage Fondu Gourmet #509,80.0,7.6,Offre Duo : -30% sur Fromage Fondu Gourmet #509 (MDD) à l'achat de Yaourt Fraise Repère #1106
XSELL-0009,362739789572,386738905558,Céréales Gourmandes Repère #1750,Pâte à Tartiner Bio #3219,81.3,8.7,Offre Duo : -30% sur Pâte à Tartiner Bio #3219 (MDD) à l'achat de Céréales Gourmandes Repère #1750
XSELL-0010,394155434538,367090547594,Pain de Mie Bio Danone #3727,Jambon Supérieur Gourmet #4260,67.1,6.9,Offre Duo : -30% sur Jambon Supérieur Gourmet #4260 (MDD) à l'achat de Pain de Mie Bio Danone #3727
XSELL-0011,344455157271,329834519193,Pâte à Tartiner Nestlé #1688,Yaourt Fraise Repère #2898,82.8,6.4,Offre Duo : -30% sur Yaourt Fraise Repère #2898 (MDD) à l'achat de Pâte à Tartiner Nestlé #1688
XSELL-0012,377681616728,356664966939,Biscuits Chocolat Danone #1475,Biscuits Chocolat Repère #2164,72.6,6.2,Offre Duo : -30% sur Biscuits Chocolat Repère #2164 (MDD) à l'achat de Biscuits Chocolat Danone #1475
XSELL-0013,317004773997,367603926991,Yaourt Fraise Nestlé #816,Sauce Tomate Basilic Gourmet #492,72.9,7.0,Offre Duo : -30% sur Sauce Tomate Basilic Gourmet #492 (MDD) à l'achat de Yaourt Fraise Nestlé #816
XSELL-0014,362286771732,345581724022,Plat Cuisiné Lasagnes Repère #3371,Céréales Gourmandes Repère #1589,77.4,8.7,Offre Duo : -30% sur Céréales Gourmandes Repère #1589 (MDD) à l'achat de Plat Cuisiné Lasagnes Repère #3371
XSELL-0015,348293064477,318233167779,Pain de Mie Bio Nestlé #4110,Jus d'Orange Pur Jus Repère #13,66.8,10.4,Offre Duo : -30% sur Jus d'Orange Pur Jus Repère #13 (MDD) à l'achat de Pain de Mie Bio Nestlé #4110
XSELL-0016,324049135521,387229982383,Fromage Fondu Repère #3786,Pâte à Tartiner Repère #907,91.0,10.3,Offre Duo : -30% sur Pâte à Tartiner Repère #907 (MDD) à l'achat de Fromage Fondu Repère #3786
XSELL-0017,354209172503,344915576261,Pâte à Tartiner Nestlé #41,Fromage Fondu Gourmet #923,69.6,8.1,Offre Duo : -30% sur Fromage Fondu Gourmet #923 (MDD) à l'achat de Pâte à Tartiner Nestlé #41
XSELL-0018,384732828704,367918561815,Sauce Tomate Basilic Nestlé #1490,Céréales Gourmandes Gourmet #731,66.2,13.0,Offre Duo : -30% sur Céréales Gourmandes Gourmet #731 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #1490
XSELL-0019,310717379822,313770641834,Pâte à Tartiner Nestlé #3068,Biscuits Chocolat Gourmet #1538,78.6,8.4,Offre Duo : -30% sur Biscuits Chocolat Gourmet #1538 (MDD) à l'achat de Pâte à Tartiner Nestlé #3068
XSELL-0020,319242576368,312374784969,Pâte à Tartiner Repère #3763,Plat Cuisiné Lasagnes Gourmet #1779,86.0,7.0,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #1779 (MDD) à l'achat de Pâte à Tartiner Repère #3763
XSELL-0021,383539848896,329748919914,Céréales Gourmandes Nestlé #255,Plat Cuisiné Lasagnes Repère #1863,75.2,5.0,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #1863 (MDD) à l'achat de Céréales Gourmandes Nestlé #255
XSELL-0022,372623785570,339750696781,Céréales Gourmandes Repère #3465,Jambon Supérieur Repère #551,65.2,8.3,Offre Duo : -30% sur Jambon Supérieur Repère #551 (MDD) à l'achat de Céréales Gourmandes Repère #3465
XSELL-0023,331277173587,386458590155,Jambon Supérieur Nestlé #3216,Pain de Mie Bio Bio #4354,68.8,9.1,Offre Duo : -30% sur Pain de Mie Bio Bio #4354 (MDD) à l'achat de Jambon Supérieur Nestlé #3216
XSELL-0024,320787033575,362286771732,Yaourt Fraise Danone #2446,Plat Cuisiné Lasagnes Repère #3371,73.3,5.8,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #3371 (MDD) à l'achat de Yaourt Fraise Danone #2446
XSELL-0025,384542500940,353911458420,Jambon Supérieur Danone #2937,Pain de Mie Bio Bio #3148,66.6,7.2,Offre Duo : -30% sur Pain de Mie Bio Bio #3148 (MDD) à l'achat de Jambon Supérieur Danone #2937
XSELL-0026,362101699203,323732556916,Sauce Tomate Basilic Repère #3837,Pâte à Tartiner Bio #4347,80.4,9.8,Offre Duo : -30% sur Pâte à Tartiner Bio #4347 (MDD) à l'achat de Sauce Tomate Basilic Repère #3837
XSELL-0027,333585855253,385828458362,Fromage Fondu Danone #2638,Sauce Tomate Basilic Gourmet #2688,71.6,8.1,Offre Duo : -30% sur Sauce Tomate Basilic Gourmet #2688 (MDD) à l'achat de Fromage Fondu Danone #2638
XSELL-0028,354753089560,375371057572,Sauce Tomate Basilic Repère #1907,Sauce Tomate Basilic Gourmet #3626,92.9,12.1,Offre Duo : -30% sur Sauce Tomate Basilic Gourmet #3626 (MDD) à l'achat de Sauce Tomate Basilic Repère #1907
XSELL-0029,354209172503,320928325117,Pâte à Tartiner Nestlé #41,Jambon Supérieur Repère #3583,81.3,11.0,Offre Duo : -30% sur Jambon Supérieur Repère #3583 (MDD) à l'achat de Pâte à Tartiner Nestlé #41
